Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,Average Cost,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Number of Unemployed,Mean Earnings,Median Earnings
Fairleigh Dickinson University-College at Florham,3,4,Private,Mid-Atlantic,Large Suburb,0.7774,0,1020,2242,51159,8250,18750,22.43000031,76470.17,57373,197,46000,42700
Fairleigh Dickinson University-Metropolitan Campus,3,4,Private,Mid-Atlantic,Large Suburb,0.7341,0,985,3915,43227,8296,18750,22.43000031,76470.17,57373,197,46000,42700
Fairmont State University,3,4,Public,Southeast,Distant Town,0.6649,21,965,3856,14710,6656,14210,23.06999969,45075.59,36183,314,33400,29400
Farmingdale State College,3,3,Public,Mid-Atlantic,Large Suburb,0.5264,21,969,7455,15258,7951,11000,22.84000015,60549.91,44234,167,47900,44200
Fayetteville State University,3,4,Public,Southeast,Mid-size City,0.5496,18,851,5077,13188,8064,17003.5,23.79000092,35071.6,26610.5,216,30000,26700
Felician College,3,4,Private,Mid-Atlantic,Large Suburb,0.8819,19,877,1618,41750,6612,20834,25.38999939,64996.12,48610,68,43400,39800
Ferris State University,3,4,Public,Great Lakes,Remote Town,0.759,22,1010,12646,21498,7942,17562,21.87000084,67189.85,59172,335,42400,38400
Ferrum College,3,3,Private,Southeast,Distant Rural,0.7411,17,868,1506,38620,5887,11250,20.61000061,63285.28,52888,42,33800,32400
Fitchburg State University,3,4,Public,New England,Mid-size Suburb,0.7211,20,987,4148,17686,8371,15529.5,21.27000046,75368.32,70609.5,96,40000,38700
Flagler College-St Augustine,3,3,Private,Southeast,Small Suburb,0.4987,23,1096,2839,28305,6087,16500,21.80999947,72203.48,61140,89,34300,33800
Florida Agricultural and Mechanical University,3,4,Public,Southeast,Mid-size City,0.45,20,947,8825,19191,7994,20750,20.31999969,46236.87,33649,324,39800,32300
Florida Atlantic University,3,4,Public,Southeast,Small City,0.4773,22,1039,24685,19131,7962,12500,23.69000053,46536.36,32086,669,41400,37800
Florida Gulf Coast University,3,4,Public,Southeast,Large Suburb,0.6579,22,1024,12795,18097,7382,11625,22.43000031,62264.97,46981,138,39300,37600
Florida Institute of Technology,3,4,Private,Southeast,Small City,0.6045,26,1153,3191,52490,9025,8509,20.36000061,87401.79,73416.5,59,54400,50500
Florida International University,3,4,Public,Southeast,Large Suburb,0.4304,26,1154,38234,18426,9653,13750,22.38999939,38171.07,27626,795,44200,40500
Florida Memorial University,3,4,Private,Southeast,Large Suburb,0.4159,0,0,1517,25036,6895,23750,22.02000046,29533.62,21893.5,154,25800,23700
Florida Southern College,3,4,Private,Southeast,Small City,0.4989,25,1102,2379,38413,7152,18375,21.89999962,68962.06,56919.5,74,37900,35900
Florida State University,3,4,Public,Southeast,Mid-size City,0.5681,27,1212,32086,20774,9706,18750,20.76000023,68162.48,51372.5,654,44700,40000
Fontbonne University,3,4,Private,Great Plains,Large Suburb,0.6524,23,1070,1242,30833,6008,25000,27.44000053,61278.18,45291,66,41500,38100
Fordham University,3,4,Private,Mid-Atlantic,Large City,0.4713,28,1258,8193,56604,12679,21500,20.09000015,96092.62,74870,250,54600,50300
Fort Hays State University,3,4,Public,Great Plains,Remote Town,0.8917,21,990,11064,15395,6488,11606,23.75,55153.96,48317,187,37600,34800
Fort Lewis College,3,3,Public,Rocky Mountains,Remote Town,0.875,23,1049,3859,19565,7028,10500,21.64999962,64088.61,47128,174,34000,30300
Fort Valley State University,3,4,Public,Southeast,Fringe Town,0.3273,0,830,2805,19801,6189,19000,21.31999969,42540.16,30464.5,93,26800,24000
Framingham State University,3,4,Public,New England,Small City,0.5167,22,1040,4255,21402,7977,15522.5,20.76000023,78825.5,72222.5,82,41500,40200
Francis Marion University,3,4,Public,Southeast,Small Suburb,0.5667,20,938,3380,19965,7223,19250,20.54999924,52223.66,38222,105,33000,30400
Franciscan University of Steubenville,3,4,Private,Great Lakes,Small City,0.7607,26,1163,2055,32761,7306,20500,20.54000092,94321.98,82655.5,96,35700,33100
Franklin and Marshall College,3,3,Private,Mid-Atlantic,Small City,0.3931,0,0,2262,58518,9332,23000,19.31999969,130432.83,113508,27,52000,47200
Franklin Pierce University,3,4,Private,New England,Fringe Rural,0.8472,19,975,1664,44410,5299,15289,22.51000023,80237.61,68287,94,36300,33700
Freed-Hardeman University,3,4,Private,Southeast,Distant Town,0.9203,24,1098,1290,32814,6154,19125,20.13999939,69532.63,64443,56,37200,33700
Fresno Pacific University,3,4,Private,Far West,Large City,0.7844,20,979,2496,33973,6562,16802,26.02000046,56054.12,44931.5,88,38800,37600
Friends University,3,4,Private,Great Plains,Large City,0.5862,21,977,1568,33388,6443,20834,27.87000084,56227.91,45203.5,154,42400,38300
Frostburg State University,3,4,Public,Mid-Atlantic,Small Suburb,0.5945,20,963,4575,19454,6570,16750,20.29000092,78080.06,68365.5,105,40500,38500
Furman University,3,4,Private,Southeast,Large Suburb,0.6397,28,1237,2777,55434,8957,20500,19.88999939,111409.56,93139.5,36,44100,40200
Gallaudet University,3,4,Private,Mid-Atlantic,Large City,0.6558,18,841,1053,29852,10183,12000,22.72999954,42756.46,26730,108,29100,26400
Gannon University,3,4,Private,Mid-Atlantic,Mid-size City,0.8042,23,1050,2697,37572,7326,22068,20.63999939,72631.28,68879,74,48000,43100
Gardner-Webb University,3,4,Private,Southeast,Distant Town,0.4817,22,1018,2559,35790,6413,17840,25.87000084,57914.44,46379.5,139,37000,34400
