Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,Average Cost,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Number of Unemployed,Mean Earnings,Median Earnings
Kalamazoo College,3,3,Private,Great Lakes,Small City,0.6689,28,1240,1427,48547,7991,24000,19.21999931,108955.67,97614,21,47000,41400
Kansas State University,3,4,Public,Great Plains,Small City,0.9591,0,0,19647,20140,8154,17000,20.79999924,76027.75,66719,475,43300,39600
Kean University,3,4,Public,Mid-Atlantic,Large Suburb,0.8037,0,905,11975,19462,9226,18750,22.95000076,60112.31,44190,312,42000,41100
Keene State College,3,4,Public,New England,Distant Town,0.8185,0,975,4643,24614,8750,20000,20.02000046,90119.45,83694,86,37800,36100
Kennesaw State University,3,4,Public,Southeast,Large Suburb,0.5654,23,1068,22211,20630,6252,15000,24.51000023,57729.39,41150.5,424,39800,37200
Kent State University at Kent,3,4,Public,Great Lakes,Large Suburb,0.8302,23,1048,22071,23995,8299,16500,22.36000061,61046.44,51560,965,36100,33100
Kentucky State University,3,4,Public,Southeast,Distant Town,0.3774,18,860,2131,18387,6102,14750,22.54000092,41361.97,31104,90,27300,26100
Kenyon College,3,3,Private,Great Lakes,Distant Town,0.3838,30,1328,1694,57910,8924,16491,19.48999977,124272.54,110054,18,40400,37400
Kettering University,3,4,Private,Great Lakes,Mid-size City,0.6159,27,1198,1640,49303,7704,22500,19.84000015,88987.34,83977,27,66200,69900
Keuka College,3,4,Private,Mid-Atlantic,Distant Town,0.8778,0,0,1830,42008,6373,21825,24.88999939,64310.04,56190,35,40800,38500
Keystone College,3,4,Private,Mid-Atlantic,Large Suburb,0.7205,19,901,1550,31012,6328,16836,22.22999954,53936.18,45833,112,31000,28500
King University,3,4,Private,Southeast,Small City,0.6377,23,1039,2121,36533,4703,17910,25.64999962,59579.65,52011,27,45500,39900
King's College,3,4,Private,Mid-Atlantic,Small City,0.7151,0,0,1987,41453,7393,22250,20.31999969,86028.03,78687.5,51,48000,42900
Knox College,3,3,Private,Great Lakes,Remote Town,0.7496,0,0,1402,46291,5295,25000,19.70000076,92964.36,84560.5,35,37100,35400
Kutztown University of Pennsylvania,3,4,Public,Mid-Atlantic,Fringe Town,0.8179,20,959,8538,23130,8599,18750,20.36000061,79126.45,74351,236,37800,36600
La Roche College,3,4,Private,Mid-Atlantic,Large Suburb,0.5565,21,931,1344,35493,5789,18750,22.07999992,67680.38,62381,48,40000,37000
La Salle University,3,4,Private,Mid-Atlantic,Large City,0.8021,22,996,4228,47134,9266,20616.5,22.48999977,83518.91,71045.5,116,51100,49400
La Sierra University,3,4,Private,Far West,Large City,0.4677,20,926,2060,39842,7230,14500,20.93000031,65695.31,51186,67,45000,37300
Lafayette College,3,3,Private,Mid-Atlantic,Large Suburb,0.3414,29,1283,2452,57688,10996,21648,19.31999969,122599.26,107123,30,69500,62400
Lake Forest College,3,4,Private,Great Lakes,Large Suburb,0.5727,26,1157,1577,49743,8231,24000,19.68000031,96529.57,81078,26,46400,41600
Lake Superior State University,3,4,Public,Great Lakes,Remote Town,0.9183,23,1050,2299,19571,6061,16563,22.44000053,56752.05,48687,135,36300,32600
Lakeland College,3,4,Private,Great Lakes,Fringe Rural,0.6621,22,1007,2449,32706,6425,19023.5,26.37999916,56436.15,45209,70,39700,37900
Lamar University,3,4,Public,Southwest,Mid-size City,0.7682,21,974,9175,21142,7689,12500,22.43000031,44121.96,31781.5,298,40100,35800
Lancaster Bible College,3,4,Private,Mid-Atlantic,Large Suburb,0.5813,19,982,1212,27372,5605,12000,22.45000076,66006.2,60888,52,29900,28400
Lander University,3,4,Public,Southeast,Distant Town,0.4216,20,945,2750,21628,5675,15250,20.96999931,57754.73,45814,88,32800,31300
Lane College,3,3,Private,Southeast,Small City,0.4916,15,716,1554,17406,4704,16018,20.27000046,31750.65,25617,76,22700,20300
Lasell College,3,4,Private,New England,Small City,0.7614,21,974,1667,43854,7409,23000,19.47999954,86819.79,77869,46,36600,34600
Lawrence Technological University,3,4,Private,Great Lakes,Small City,0.4365,25,1145,3033,39890,7585,21500,22.10000038,74787.91,63620,53,51700,50000
Lawrence University,3,3,Private,Great Lakes,Small City,0.7269,0,0,1517,50570,7545,27000,19.59000015,104424.87,91379,31,37700,35800
Le Moyne College,3,4,Private,Mid-Atlantic,Mid-size City,0.619,24,1080,2619,42068,8776,21216.5,21.52000046,75088.06,62276,82,47300,45000
Le Moyne-Owen College,3,3,Private,Southeast,Large City,0.2335,16,760,1009,16427,4750,12250,23.61000061,24665.5,17437.5,42,27000,23300
Lebanon Valley College,3,4,Private,Mid-Atlantic,Small Suburb,0.6686,25,1112,1698,46169,7793,24500,19.96999931,92767.68,88001.5,27,42700,41000
Lee University,3,4,Private,Southeast,Small City,0.9165,24,1094,4143,23554,5605,17686.5,21.45000076,64378.91,54410,165,32500,30000
Lehigh University,3,4,Private,Mid-Atlantic,Small City,0.3084,30,1322,4904,55441,12344,22500,19.32999992,125770.36,102543,58,77100,68600
Lenoir-Rhyne University,3,4,Private,Southeast,Small City,0.6806,21,976,1409,39425,6600,17714,21.29000092,74504.47,62412.5,40,36100,33600
Lesley University,3,4,Private,New England,Mid-size City,0.6749,24,1065,1785,47788,7838,19500,24.89999962,70943.6,55849,88,34700,33200
LeTourneau University,3,4,Private,Southwest,Small City,0.4066,26,1175,2173,37031,7287,23250,29.61000061,57117.48,44614.5,180,51000,44500
Lewis & Clark College,3,4,Private,Far West,Large City,0.6285,29,1279,1985,53455,9221,19115,20.96999931,83576.98,67573,50,42500,37600
Lewis University,3,4,Private,Great Lakes,Large Suburb,0.5587,24,1088,4489,34079,9021,20000,22.75,78739.55,71614,88,47000,43500
Lewis-Clark State College,3,3,Public,Rocky Mountains,Small City,0.9977,20,936,3161,16184,5512,12500,25.65999985,39595.63,30202,197,33500,29700
Liberty University,3,4,Private,Southeast,Small City,0.2165,23,1030,47079,31344,4102,12612,25.45000076,62521.01,51134,677,34500,31400
Limestone College,3,3,Private,Southeast,Fringe Town,0.5322,22,1010,3150,34658,4780,20000,30.13999939,43422.74,31465.5,129,37100,33800
Lincoln Memorial University,3,4,Private,Southeast,Remote Town,0.6995,23,1054,1632,31241,2660,15000,26.88999939,41205.47,31386,84,37100,35400
Lincoln University of Pennsylvania,3,4,Public,Mid-Atlantic,Large Suburb,0.6133,18,853,1614,22497,8170,24376,21.92000008,44650.53,35974,106,32400,30900
Lindenwood University,3,4,Private,Great Plains,Small City,0.6629,23,1045,7928,30193,6787,20500,23.93000031,74703.81,62127,178,39600,35400
Linfield College-McMinnville Campus,3,3,Private,Far West,Distant Town,0.9219,24,1090,1641,45708,7064,22697,23.78000069,79097.27,65697,72,50200,47900
Lipscomb University,3,4,Private,Southeast,Large City,0.527,25,1149,2874,37181,7138,14500,20.62000084,86133.94,79148,67,38900,35500
LIU Brooklyn,3,4,Private,Mid-Atlantic,Large City,0.869,20,921,4905,42712,9917,18325.5,24.68000031,19232.08,15328,467,49900,42100
LIU Post,3,4,Private,Mid-Atlantic,Large Suburb,0.8067,21,974,4067,44701,10748,18325.5,21.97999954,57894.33,39528,467,49900,42100
Livingstone College,3,3,Private,Southeast,Mid-size Suburb,0.7122,15,723,1172,25050,5557,16750,20.98999977,36233.21,28538.5,82,23300,20900
Lock Haven University,3,4,Public,Mid-Atlantic,Distant Town,0.8777,20,937,4783,19145,9142,18162,20.70999908,66735.94,61119,139,38500,36700
Longwood University,3,4,Public,Southeast,Remote Town,0.8136,21,1002,4357,23707,7013,19000,19.82999992,85619.87,82459,65,39400,37500
Loras College,3,4,Private,Great Plains,Small City,0.6903,24,1088,1521,37622,6173,24225,20.15999985,89740.93,79300,43,41500,38200
Louisiana College,3,4,Private,Southeast,Small Suburb,0.7423,21,968,1081,22940,5513,11750,20.96999931,62856.44,49554.5,37,40900,37800
Louisiana State University and Agricultural & Mechanical College,3,4,Public,Southeast,Fringe Rural,0.7623,26,1162,23990,20422,9190,13000,20.54999924,70702.73,52648,415,49500,42800
Louisiana State University-Alexandria,3,3,Public,Southeast,Fringe Rural,0.6074,20,950,1984,14276,5298,9000,24.70999908,35477.1,25217,199,32800,29000
Louisiana State University-Shreveport,3,4,Public,Southeast,Mid-size City,0.8349,22,1030,2796,15066,6279,12500,23.45000076,42687.86,28984,164,36600,32700
Louisiana Tech University,3,4,Public,Southeast,Distant Town,0.6744,24,1089,7047,16983,7055,13632.5,21.48999977,57506.42,43568,277,43300,37500
Lourdes University,3,4,Private,Great Lakes,Large Suburb,0.6932,0,0,1747,27429,5914,20000,27.85000038,46909.66,30582.5,56,37100,33200
Loyola Marymount University,3,4,Private,Far West,Large City,0.5412,27,1202,6087,55432,10098,20201.5,20.12000084,101494.67,76696,154,58000,49600
Loyola University Chicago,3,4,Private,Great Lakes,Large City,0.914,27,1195,9931,47727,9432,22934,20.51000023,85748.31,67583.5,281,50600,45500
Loyola University Maryland,3,4,Private,Mid-Atlantic,Large City,0.58,27,1194,3972,56736,8346,26000,19.36000061,134101.78,112164,43,64000,56400
Loyola University New Orleans,3,4,Private,Southeast,Large City,0.8707,25,1143,2910,46676,8612,18500,20.77000046,88998.94,72625,111,43500,40500
Lubbock Christian University,3,4,Private,Southwest,Mid-size City,0.9489,22,1010,1466,28493,5878,18500,24.29999924,62284.68,49495,77,42300,35800
Luther College,3,3,Private,Great Plains,Remote Town,0.7212,26,1175,2388,46548,7539,26902,19.62999916,99210.06,90605,51,42900,39900
Lycoming College,3,3,Private,Mid-Atlantic,Small City,0.7162,24,1047,1288,44256,7080,27000,19.70999908,84603.86,75474,34,42700,40600
Lynchburg College,3,4,Private,Southeast,Small City,0.6369,22,1002,2140,41818,7038,21500,20.37999916,90083.99,77604,58,40600,37000
Lyndon State College,3,4,Public,New England,Remote Town,0.9934,20,930,1363,19178,6254,14200,20.87999916,65000.85,56155,56,31400,29700
Lynn University,3,4,Private,Southeast,Small City,0.776,20,940,1732,48735,5194,13000,22.45000076,87543.56,56163,82,39700,34400
Macalester College,3,3,Private,Great Plains,Large City,0.3416,31,1350,2029,55393,9450,21996.5,19.37999916,93155.63,85439.5,35,45600,38900
Madonna University,3,4,Private,Great Lakes,Small City,0.6125,22,1034,3080,22629,7554,21733,27.43000031,58679.09,41119.5,143,39200,36300
Malone University,3,4,Private,Great Lakes,Small City,0.7179,23,1046,1571,35213,6277,19549,24.70999908,67635.7,63498,75,42200,36600
Manchester University,3,4,Private,Great Lakes,Distant Town,0.7116,22,1017,1188,38505,6924,19500,19.90999985,76767.12,74409.5,30,37100,35900
Manhattan College,3,4,Private,Mid-Atlantic,Large City,0.6617,25,1090,3403,44895,9042,21500,19.71999931,104919.34,94555,58,56500,56000
Manhattanville College,3,4,Private,Mid-Atlantic,Large Suburb,0.7674,0,1075,1671,49907,7862,18750,19.85000038,85034.73,68915,56,46800,41700
Mansfield University of Pennsylvania,3,4,Public,Mid-Atlantic,Distant Town,0.9229,21,964,2640,21432,9064,19000,21.38999939,60395.19,53497,111,36400,34600
Marian University,3,4,Private,Great Lakes,Small City,0.7561,20,950,1676,33656,6545,21500,24.51000023,65324.46,61347,46,40100,37500
Marian University,3,4,Private,Great Lakes,Large City,0.5795,22,1024,2054,39369,5762,23412.5,26.12000084,61627.36,48632,80,42500,39800
Marietta College,3,4,Private,Great Lakes,Fringe Town,0.6387,24,1105,1390,42205,6565,22353,19.90999985,82604.15,71762,30,45000,34000
Marist College,3,4,Private,Mid-Atlantic,Large Suburb,0.3745,0,0,5295,45962,8532,22034,20.76000023,113031.97,104976.5,143,49400,46800
Marquette University,3,4,Private,Great Lakes,Large City,0.5745,27,1217,8190,46649,9665,24760,20.17000008,105199.44,93069,111,57800,52300
Mars Hill University,3,4,Private,Southeast,Large Suburb,0.6447,20,941,1393,36669,5017,12000,22.39999962,61433.56,50049,87,29600,28400
Marshall University,3,4,Public,Southeast,Small City,0.7868,22,1022,9098,16361,6867,14726.5,22.29000092,51886.47,41261,499,35200,31100
Mary Baldwin College,3,4,Private,Southeast,Small City,0.8835,22,959,1307,39432,6471,18750,25.46999931,62677.27,51999,51,36500,35700
Marygrove College,3,4,Private,Great Lakes,Large City,0.9378,16,780,1041,25733,6431,16750,28.68000031,31358.87,20826,56,29100,25300
Maryland Institute College of Art,3,4,Private,Mid-Atlantic,Large City,0.5803,0,1175,1892,52649,8764,23000,19.98999977,99535.03,89961,63,33500,30900
Marymount Manhattan College,3,3,Private,Mid-Atlantic,Large City,0.7463,24,1053,1783,45323,8312,15516,20.12000084,95424.1,75779,69,39400,36900
Marymount University,3,4,Private,Southeast,Mid-size City,0.8252,22,1030,2371,36832,8270,20500,22.56999969,75571.78,57612,103,51200,48200
Maryville College,3,3,Private,Southeast,Large Suburb,0.7259,24,1068,1139,41481,6508,19000,19.95999908,70519.43,61945.5,37,34800,32700
Maryville University of Saint Louis,3,4,Private,Great Plains,Large Suburb,0.7611,25,1142,2746,37968,7411,19909,23.86000061,76255.16,65418,80,45900,43200
Marywood University,3,4,Private,Mid-Atlantic,Small City,0.713,0,1050,2034,41657,7887,23250,20.77000046,69787.79,61757,65,37700,35100
Massachusetts College of Art and Design,3,4,Public,New England,Large City,0.6982,25,1081,1861,25384,9403,22500,21.47999954,74521.53,60374,71,33900,30200
Massachusetts College of Liberal Arts,3,4,Public,New England,Fringe Town,0.672,23,1032,1483,20025,8113,18499,21.87000084,64872.32,56421.5,47,32200,29500
Massachusetts Institute of Technology,3,4,Private,New England,Mid-size City,0.0815,34,1503,4510,57010,15617,13000,21.01000023,95848.89,79076,86,125100,86900
Massachusetts Maritime Academy,3,4,Public,New England,Mid-size Suburb,0.7726,22,1051,1362,22420,7967,23250,19.82999992,89790.92,86279,10,75200,67500
McDaniel College,3,4,Private,Mid-Atlantic,Small Suburb,0.7587,24,1105,1662,45866,7035,22000,19.78000069,97433.64,89429,32,46100,42000
McKendree University,3,4,Private,Great Lakes,Large Suburb,0.6289,23,1046,2312,37004,6641,17613,24.43000031,61352.61,52208,60,44200,40500
McMurry University,3,3,Private,Southwest,Mid-size City,0.5924,21,982,1157,34650,5688,16865,21.94000053,57874.34,44039,57,39500,35700
McNeese State University,3,4,Public,Southeast,Small City,0.6151,22,1030,6777,14823,6410,12806,22.29999924,47180.78,33535,282,38300,33000
MCPHS University,3,4,Private,New England,Large City,0.8921,24,1094,3808,43966,8066,25000,22.25,75646.39,61624,48,102300,113100
Medaille College,3,4,Private,Mid-Atlantic,Large City,0.5429,0,865,1716,30598,5457,17363,25.64999962,59348.87,50094,76,39200,35300
Mercer University,3,4,Private,Southeast,Small City,0.69,26,1171,4304,46382,7918,21500,26.63999939,65979.68,48287.5,177,53700,43900
Mercy College,3,4,Private,Mid-Atlantic,Large Suburb,0.5724,0,0,6897,26740,8144,14750,25.70999908,37305.82,28188,406,38700,34800
Mercyhurst University,3,4,Private,Mid-Atlantic,Mid-size City,0.7536,24,1064,2679,42367,5387,16000,22.29000092,76674.92,66871,132,39500,36100
Meredith College,3,4,Private,Southeast,Large City,0.6232,23,1040,1543,39296,6925,20500,22.59000015,75153.97,56959.5,80,35900,34400
Merrimack College,3,4,Private,New England,Large Suburb,0.786,0,0,2722,46532,7449,20000,19.68000031,115893.15,108518,47,49100,47200
Messiah College,3,4,Private,Mid-Atlantic,Large Suburb,0.659,26,1154,2739,41341,7958,23000,19.54999924,99220.26,91486,76,42400,38000
Methodist University,3,4,Private,Southeast,Mid-size City,0.6122,21,961,2172,45011,6726,11200,22.87999916,63251.18,45688.5,98,39300,35200
Metropolitan State University,3,4,Public,Great Plains,Large City,1,0,0,7322,18170,8129,15250,27.73999977,45224.91,34503,216,44700,42200
Metropolitan State University of Denver,3,4,Public,Rocky Mountains,Large City,0.7116,21,973,21696,14034,5904,13450.5,25.09000015,46429.22,32755,864,38200,34900
Miami University-Oxford,3,4,Public,Great Lakes,Fringe Town,0.6676,28,1240,15378,30858,8478,16766.5,21.12000084,94869.73,81424.5,383,46200,40500
Michigan Jewish Institute,3,3,Private,Great Lakes,Large Suburb,0.981,0,0,1642,15022,3433,0,19.51000023,29057.67,27033,125,22400,16900
Michigan State University,3,4,Public,Great Lakes,Small City,0.6865,26,1158,37622,23740,10614,22734,20.20000076,87289.4,78152,539,51900,46800
Michigan Technological University,3,4,Public,Great Lakes,Remote Town,0.7659,27,1206,5536,24724,9142,21812,19.92000008,82033.18,76868.5,113,56700,57400
MidAmerica Nazarene University,3,4,Private,Great Plains,Large Suburb,0.7223,20,950,1390,32388,6156,15000,24.5,70290.04,60929,62,43500,39200
Middle Georgia State College,3,3,Public,Southeast,Small City,0.4486,0,0,7164,13472,5105,8000,0,0,0,0,0,0
Middle Tennessee State University,3,4,Public,Southeast,Mid-size City,0.6996,22,1011,20914,17501,7029,15000,22.07999992,57627.86,42980,597,37100,33100
Middlebury College,3,4,Private,New England,Distant Town,0.1716,32,1391,2466,59200,10599,17777.5,21.60000038,86276.38,60997.5,55,60900,49100
Midland University,3,4,Private,Great Plains,Distant Town,0.6832,21,970,1189,36214,5733,11500,20.70999908,68281.17,64320,22,37500,35400
Midway College,3,4,Private,Southeast,Distant Rural,0.5381,22,1032,1247,33132,5459,16750,28.11000061,49200.78,37808,64,35900,33700
Midwestern State University,3,4,Public,Southwest,Mid-size City,0.7178,21,993,5192,15704,7118,14950,22.76000023,54598.69,42383.5,187,39000,35600
Millersville University of Pennsylvania,3,4,Public,Mid-Atlantic,Large Suburb,0.7186,22,1014,7313,21756,9485,18500,20.62999916,79131.92,73644,146,39700,39400
Millikin University,3,4,Private,Great Lakes,Small City,0.5512,24,1087,2122,39576,5844,22000,21.96999931,76988.11,68264.5,66,41500,38600
Milwaukee School of Engineering,3,4,Private,Great Lakes,Large City,0.6839,28,1244,2452,43747,8286,25893,20.89999962,82875.91,77754,43,59100,61000
Minnesota State University-Mankato,3,4,Public,Great Plains,Small City,0.6555,22,1030,12542,17578,8155,15116,20.79999924,76286.68,71852,216,41000,38100
Minnesota State University-Moorhead,3,4,Public,Great Plains,Mid-size Suburb,0.8911,23,1049,5912,18028,7781,15772,21.10000038,68582.76,64384,186,37200,34500
Minot State University,3,4,Public,Great Plains,Remote Town,0.5662,22,1004,2693,14549,6338,12878.5,22.93000031,51835.46,43540,138,38100,34600
Misericordia University,3,4,Private,Mid-Atlantic,Large Suburb,0.6489,23,1057,2362,38504,7112,22212.5,23.22999954,70680.66,66143,57,48700,47000
Mississippi College,3,4,Private,Southeast,Large Suburb,0.673,24,1098,2895,25976,7079,16625,23.56999969,54620.08,37912,86,39900,35800
Mississippi State University,3,4,Public,Southeast,Remote Town,0.6482,24,1106,16399,20796,7852,15500,21.80999947,57616.67,41243.5,305,41900,36800
Mississippi University for Women,3,4,Public,Southeast,Remote Town,0.4349,21,995,2252,15935,5914,14000,24.12999916,38199.88,26756,91,35300,31400
Mississippi Valley State University,3,4,Public,Southeast,Remote Town,0.2272,17,825,1856,17758,5621,20969,23.63999939,21921.99,17447,169,24000,21000
Missouri Baptist University,3,4,Private,Great Plains,Large Suburb,0.6095,22,1001,1710,30542,5248,15807,23.53000069,60271.01,50739.5,56,33500,31800
Missouri Southern State University,3,4,Public,Great Plains,Small City,0.9728,21,990,5132,14143,6592,11500,24.22999954,43502.53,32426,258,33000,30500
Missouri State University-Springfield,3,4,Public,Great Plains,Mid-size City,0.851,24,1090,15746,19117,7135,15000,21.57999992,69002.88,57869.5,449,37300,34100
Missouri University of Science and Technology,3,4,Public,Great Plains,Remote Town,0.8215,28,1263,6064,22102,9931,18843,20.45000076,76783.85,71244,82,60800,61200
Missouri Valley College,3,4,Private,Great Plains,Remote Town,0.2218,20,920,1411,28754,4635,10500,20.70000076,57807.29,49223.5,93,33000,31000
Molloy College,3,4,Private,Mid-Atlantic,Large Suburb,0.7267,23,1054,3322,36702,8716,25000,23.79000092,71465.93,58419,73,56400,53600
Monmouth College,3,3,Private,Great Lakes,Remote Town,0.6431,23,1049,1247,40578,6770,22000,19.75,81617.83,76102,35,38600,35500
Monmouth University,3,4,Private,Mid-Atlantic,Large Suburb,0.7791,24,1063,4557,42307,8286,22500,20.31999969,101531.99,91415.5,134,47600,44600
Montana State University,3,4,Public,Rocky Mountains,Remote Town,0.8449,24,1115,13055,18486,8068,14465,21.61000061,63595.51,49742,341,40600,35600
Montana State University-Northern,3,4,Public,Rocky Mountains,Remote Town,1,20,925,1250,17290,5164,10500,24.97999954,41110.94,30602,84,36900,32400
Montana Tech of the University of Montana,3,4,Public,Rocky Mountains,Remote Town,0.8891,24,1115,1825,16434,6354,11117,25.06999969,46815.34,33463,90,45500,36000
Montclair State University,3,4,Public,Mid-Atlantic,Large Suburb,0.6532,0,970,15182,22773,9661,19000,21.65999985,69758.99,53696,325,44900,43400
Moody Bible Institute,3,4,Private,Great Lakes,Large City,0.6855,0,0,3019,25537,5639,0,0,0,0,0,0,0
Moravian College,3,4,Private,Mid-Atlantic,Small City,0.7995,0,0,1508,45863,5630,24250,20.09000015,99877.25,88320,35,44500,42800
Morehead State University,3,4,Public,Southeast,Remote Town,0.8449,22,1028,7344,17805,6527,14250,22.72999954,43820.8,32312,484,30500,28000
Morehouse College,3,3,Private,Southeast,Large City,0.6684,21,990,2161,45451,6903,25999.5,19.63999939,68960.56,53238.5,113,41900,36200
Morgan State University,3,4,Public,Mid-Atlantic,Large City,0.5757,18,893,6197,20108,7430,22907,20.68000031,51957.78,40263.5,228,35600,34100
Morningside College,3,4,Private,Great Plains,Small City,0.5337,23,1050,1267,36280,6371,19932,20.31999969,68803.77,64251,29,38400,36600
Mount Holyoke College,3,4,Private,New England,Large Suburb,0.4681,0,0,2154,55496,9715,20000,20.35000038,89314.58,73414.5,64,41000,39300
Mount Ida College,3,4,Private,New England,Small City,0.6065,18,880,1261,41565,6336,19000,20.52000046,74459.36,61177,72,36000,32600
Mount Mercy University,3,4,Private,Great Plains,Mid-size City,0.6845,22,1010,1454,37183,6007,19500,23.36000061,71565.62,65962.5,31,42600,40900
Mount Olive College,3,3,Private,Southeast,Fringe Town,0.4979,19,915,3336,26161,6231,18845,31.14999962,49273.48,38102,117,39000,35200
Mount Saint Mary College,3,4,Private,Mid-Atlantic,Large Suburb,0.86,22,1006,2155,38808,8458,20910,22.44000053,78289.24,69110,73,45900,43700
Mount St Mary's College,3,4,Private,Far West,Large City,0.7409,19,928,2617,47905,8055,21500,23.85000038,54413.5,39973.5,74,57200,50300
Mount St Mary's University,3,4,Private,Mid-Atlantic,Fringe Town,0.6741,20,1060,1729,45896,7121,19500,20.38999939,107762.06,98879,30,50200,47100
Mount Vernon Nazarene University,3,4,Private,Great Lakes,Distant Town,0.6349,23,1071,1774,33321,6099,21875,25.56999969,69623.18,64078,86,41800,37000
Muhlenberg College,3,3,Private,Mid-Atlantic,Mid-size City,0.4616,28,1246,2357,53637,8429,24187,20.62999916,125281.36,110473,25,51700,49100
Murray State University,3,4,Public,Southeast,Remote Town,0.8217,22,1029,7956,16397,7145,14875,22.20999908,56815.45,46054.5,268,35700,32300
Muskingum University,3,4,Private,Great Lakes,Distant Town,0.7596,21,983,1641,33630,7269,18751,20.75,74459.31,70305,29,35600,34100
National Louis University,3,4,Private,Great Lakes,Large City,0.9881,0,0,1393,30180,6104,16378,33.13000107,45871.25,33876.5,182,46700,40700
Nazareth College,3,4,Private,Mid-Atlantic,Large Suburb,0.6839,0,0,1995,41298,7831,22125,21.26000023,82407.74,76650,56,40600,39900
Nebraska Wesleyan University,3,4,Private,Great Plains,Large City,0.7689,24,1109,1892,36429,6285,19500,20.87999916,79498.08,74606,27,43500,40800
Neumann University,3,4,Private,Mid-Atlantic,Large Suburb,0.5531,18,861,2462,37314,6649,20000,21.70000076,79974.68,72393.5,95,40300,36400
Nevada State College,3,3,Public,Far West,Large City,0.5037,0,0,3076,16547,7570,11819.5,23.05999947,61238.62,45534,0,0,0
New England College,3,4,Private,New England,Distant Rural,0.8997,0,0,1465,46261,6008,9746,22.60000038,81948.75,72232.5,44,34500,31200
New Jersey City University,3,4,Public,Mid-Atlantic,Large City,0.4129,0,917,6373,19058,9101,13250.5,24.54000092,41680.76,30520,241,40900,38800
New Jersey Institute of Technology,3,4,Public,Mid-Atlantic,Large City,0.6547,26,1142,6449,26700,11262,16145,21.53000069,60206.72,43773,113,59400,58300
New Mexico Institute of Mining and Technology,3,4,Public,Southwest,Remote Town,0.4136,26,1200,1490,17600,6908,9283,21.52000046,60441.2,42214,27,52800,48600
New Mexico State University-Main Campus,3,4,Public,Southwest,Mid-size Suburb,0.852,21,982,12886,17290,7954,11147,23.51000023,38201.24,26390.5,828,35100,30200
New York Institute of Technology,3,4,Private,Mid-Atlantic,Large Suburb,0.7407,22,1039,4307,39014,11418,17250,26.07999992,56926.77,40609.5,253,55800,46800
New York University,3,4,Private,Mid-Atlantic,Large City,0.2605,30,1352,22172,60059,13434,21500,20.72999954,99964.68,74827,579,64600,52500
Newberry College,3,3,Private,Southeast,Distant Town,0.5908,20,938,1032,37837,5099,21492,19.93000031,66769.16,53768,35,30900,28900
Newman University,3,4,Private,Great Plains,Large City,0.4472,24,1079,1276,33524,5684,16945,25.26000023,57296.43,43838,63,41500,39500
Niagara University,3,4,Private,Mid-Atlantic,Large Suburb,0.6633,23,1038,2841,38829,8135,21000,20.04000092,81807.37,77507.5,75,39300,37600
Nicholls State University,3,4,Public,Southeast,Small City,0.8694,22,1030,5682,16071,5785,11555,21.88999939,45301.91,32069.5,236,36600,32500
Nichols College,3,4,Private,New England,Large Suburb,0.8047,21,940,1260,44886,5479,15782.5,20.13999939,87096.01,81300.5,36,44600,41900
Norfolk State University,3,4,Public,Southeast,Mid-size City,0.6499,18,879,5955,18837,7608,21500,21.81999969,46384.91,36184,238,33800,30300
North Carolina A & T State University,3,4,Public,Southeast,Large City,0.6964,19,902,8577,15313,8227,19843,20.61000061,50618.06,37668.5,341,34100,29900
North Carolina Central University,3,4,Public,Southeast,Mid-size City,0.5033,18,859,5876,17873,7653,21670,22.82999992,40378.24,29880,210,32500,30200
North Carolina State University at Raleigh,3,4,Public,Southeast,Large City,0.5001,28,1229,22977,20511,9774,17750,20.54000092,76057.18,66351,306,49900,44100
North Carolina Wesleyan College,3,3,Private,Southeast,Small City,0.4676,18,863,1602,36686,5438,13514,25.52000046,51983.81,38164.5,65,39400,35100
North Central College,3,4,Private,Great Lakes,Mid-size City,0.6365,25,1125,2700,41218,7337,20000,20.72999954,88589.6,83750,60,41800,40100
North Central University,3,3,Private,Great Plains,Large City,0.9521,23,1044,1106,28800,7177,19500,20.42000008,67616.56,60825,48,30700,28700
North Dakota State University-Main Campus,3,4,Public,Great Plains,Mid-size City,0.841,24,1091,11629,18277,8163,17000,20.52000046,76035.12,71695,182,47900,41400
North Greenville University,3,4,Private,Southeast,Fringe Rural,0.5791,25,1137,2068,28373,5568,12000,20.39999962,59609.92,53275,82,28700,27000
North Park University,3,4,Private,Great Lakes,Large City,0.5234,22,1030,2190,31065,7535,18750,22.29999924,73119.69,60232.5,73,40700,37300
Northeastern Illinois University,3,4,Public,Great Lakes,Large City,0.5981,19,890,8827,22273,6988,11643.5,24.63999939,35049.57,25711.5,331,35400,33100
Northeastern State University,3,4,Public,Southwest,Remote Town,0.7337,21,970,7215,13296,5721,12500,24.20000076,38778.6,28559,493,35600,33000
Northeastern University,3,4,Private,New England,Large City,0.3231,32,1394,13204,55914,11581,25759.5,20.93000031,99407.61,83394,313,60600,56400
Northern Arizona University,3,4,Public,Southwest,Small City,0.9137,23,1050,22011,22771,7863,15000,23.62000084,61101.19,43127,490,38900,36200
Northern Illinois University,3,4,Public,Great Lakes,Small Suburb,0.5613,22,1010,15782,27621,7834,16500,20.76000023,72317.38,64181,452,42500,39500
